Step = 267; E = -380.0406793; F_norm = 11.15726179
Step = 268; E = -380.0449836; F_norm = 11.15434583
Step = 269; E = -380.0492863; F_norm = 11.15143448
Step = 270; E = -380.0535873; F_norm = 11.14852775
Step = 271; E = -380.0578866; F_norm = 11.14562564
Step = 272; E = -380.0621843; F_norm = 11.14272815
Step = 273; E = -380.0664802; F_norm = 11.13983529
Step = 274; E = -380.0707745; F_norm = 11.13694705
Step = 275; E = -380.0750671; F_norm = 11.13406343
Step = 276; E = -380.0793581; F_norm = 11.13118444
Step = 277; E = -380.0836473; F_norm = 11.12831009
Step = 278; E = -380.0879349; F_norm = 11.12544036
Step = 279; E = -380.0922208; F_norm = 11.12257526
Step = 280; E = -380.0965051; F_norm = 11.1197148
Step = 281; E = -380.1007877; F_norm = 11.11685898
Step = 282; E = -380.1050686; F_norm = 11.11400779
Step = 283; E = -380.1093478; F_norm = 11.11116125
Step = 284; E = -380.1136254; F_norm = 11.10831934
Step = 285; E = -380.1179013; F_norm = 11.10548208
Step = 286; E = -380.1221756; F_norm = 11.10264947
Step = 287; E = -380.1264482; F_norm = 11.09982149
Step = 288; E = -380.1307192; F_norm = 11.09699817
Step = 289; E = -380.1349885; F_norm = 11.0941795
Step = 290; E = -380.1392561; F_norm = 11.09136548
Step = 291; E = -380.1435221; F_norm = 11.08855611
Step = 292; E = -380.1477864; F_norm = 11.0857514
Step = 293; E = -380.1520491; F_norm = 11.08295135
Step = 294; E = -380.1563101; F_norm = 11.08015595
Step = 295; E = -380.1605695; F_norm = 11.07736522
Step = 296; E = -380.1648273; F_norm = 11.07457915
Step = 297; E = -380.1690834; F_norm = 11.07179774
Step = 298; E = -380.1733378; F_norm = 11.069021
Step = 299; E = -380.1775907; F_norm = 11.06624892
Step = 300; E = -380.1818418; F_norm = 11.06348152
Step = 301; E = -380.1860914; F_norm = 11.06071878
Step = 302; E = -380.1903393; F_norm = 11.05796073
Step = 303; E = -380.1945856; F_norm = 11.05520734
Step = 304; E = -380.1988302; F_norm = 11.05245863
Step = 305; E = -380.2030732; F_norm = 11.04971461
Step = 306; E = -380.2073146; F_norm = 11.04697526
Step = 307; E = -380.2115543; F_norm = 11.04424059
Step = 308; E = -380.2157924; F_norm = 11.04151061
Step = 309; E = -380.2200289; F_norm = 11.03878532
Step = 310; E = -380.2242638; F_norm = 11.03606471
Step = 311; E = -380.228497; F_norm = 11.0333488
Step = 312; E = -380.2327286; F_norm = 11.03063757
Step = 313; E = -380.2369586; F_norm = 11.02793104
Step = 314; E = -380.241187; F_norm = 11.02522921
Step = 315; E = -380.2454137; F_norm = 11.02253207
Step = 316; E = -380.2496389; F_norm = 11.01983964
Step = 317; E = -380.2538624; F_norm = 11.0171519
Step = 318; E = -380.2580843; F_norm = 11.01446887
Step = 319; E = -380.2623046; F_norm = 11.01179054
Step = 320; E = -380.2665233; F_norm = 11.00911692
Step = 321; E = -380.2707403; F_norm = 11.00644801
Step = 322; E = -380.2749558; F_norm = 11.00378381
Step = 323; E = -380.2791697; F_norm = 11.00112433
Step = 324; E = -380.2833819; F_norm = 10.99846956
Step = 325; E = -380.2875926; F_norm = 10.99581951
Step = 326; E = -380.2918016; F_norm = 10.99317417
Step = 327; E = -380.296009; F_norm = 10.99053356
Step = 328; E = -380.3002149; F_norm = 10.98789767
Step = 329; E = -380.3044191; F_norm = 10.9852665
Step = 330; E = -380.3086218; F_norm = 10.98264007
Step = 331; E = -380.3128228; F_norm = 10.98001836
Step = 332; E = -380.3170223; F_norm = 10.97740138
Step = 333; E = -380.3212202; F_norm = 10.97478913
Step = 334; E = -380.3254164; F_norm = 10.97218162
Step = 335; E = -380.3296111; F_norm = 10.96957885
Step = 336; E = -380.3338042; F_norm = 10.96698082
Step = 337; E = -380.3379957; F_norm = 10.96438753
Step = 338; E = -380.3421857; F_norm = 10.96179898
Step = 339; E = -380.346374; F_norm = 10.95921518
Step = 340; E = -380.3505608; F_norm = 10.95663612
Step = 341; E = -380.3547459; F_norm = 10.95406181
Step = 342; E = -380.3589295; F_norm = 10.95149226
Step = 343; E = -380.3631115; F_norm = 10.94892746
Step = 344; E = -380.367292; F_norm = 10.94636741
Step = 345; E = -380.3714709; F_norm = 10.94381212
Step = 346; E = -380.3756481; F_norm = 10.9412616
Step = 347; E = -380.3798239; F_norm = 10.93871583
Step = 348; E = -380.383998; F_norm = 10.93617483
Step = 349; E = -380.3881706; F_norm = 10.93363859
Step = 350; E = -380.3923416; F_norm = 10.93110713
Step = 351; E = -380.396511; F_norm = 10.92858043
Step = 352; E = -380.4006789; F_norm = 10.9260585
Step = 353; E = -380.4048452; F_norm = 10.92354136
Step = 354; E = -380.40901; F_norm = 10.92102898
Step = 355; E = -380.4131731; F_norm = 10.91852139
Step = 356; E = -380.4173348; F_norm = 10.91601858
Step = 357; E = -380.4214948; F_norm = 10.91352055
Step = 358; E = -380.4256533; F_norm = 10.9110273
Step = 359; E = -380.4298103; F_norm = 10.90853885
Step = 360; E = -380.4339657; F_norm = 10.90605518
Step = 361; E = -380.4381195; F_norm = 10.90357631
Step = 362; E = -380.4422718; F_norm = 10.90110223
Step = 363; E = -380.4464226; F_norm = 10.89863295
Step = 364; E = -380.4505718; F_norm = 10.89616846
