Step = 121; E = -1190.512034; F_norm = 7.228545659
Step = 122; E = -1190.525413; F_norm = 7.216397293
Step = 123; E = -1190.538769; F_norm = 7.20426994
Step = 124; E = -1190.552103; F_norm = 7.192163563
Step = 125; E = -1190.565413; F_norm = 7.180078121
Step = 126; E = -1190.578701; F_norm = 7.168013579
Step = 127; E = -1190.591966; F_norm = 7.155969896
Step = 128; E = -1190.605208; F_norm = 7.143947035
Step = 129; E = -1190.618428; F_norm = 7.131944959
Step = 130; E = -1190.631625; F_norm = 7.119963629
Step = 131; E = -1190.644799; F_norm = 7.108003007
Step = 132; E = -1190.657951; F_norm = 7.096063056
Step = 133; E = -1190.67108; F_norm = 7.084143738
Step = 134; E = -1190.684187; F_norm = 7.072245015
Step = 135; E = -1190.697271; F_norm = 7.06036685
Step = 136; E = -1190.710333; F_norm = 7.048509206
Step = 137; E = -1190.723373; F_norm = 7.036672045
Step = 138; E = -1190.73639; F_norm = 7.024855329
Step = 139; E = -1190.749385; F_norm = 7.013059022
Step = 140; E = -1190.762358; F_norm = 7.001283087
Step = 141; E = -1190.775308; F_norm = 6.989527485
Step = 142; E = -1190.788237; F_norm = 6.977792181
Step = 143; E = -1190.801143; F_norm = 6.966077138
Step = 144; E = -1190.814027; F_norm = 6.954382318
Step = 145; E = -1190.826889; F_norm = 6.942707684
Step = 146; E = -1190.839729; F_norm = 6.931053201
Step = 147; E = -1190.852548; F_norm = 6.919418831
Step = 148; E = -1190.865344; F_norm = 6.907804538
Step = 149; E = -1190.878118; F_norm = 6.896210285
Step = 150; E = -1190.890871; F_norm = 6.884636036
Step = 151; E = -1190.903602; F_norm = 6.873081755
Step = 152; E = -1190.916311; F_norm = 6.861547405
Step = 153; E = -1190.928998; F_norm = 6.85003295
Step = 154; E = -1190.941664; F_norm = 6.838538354
Step = 155; E = -1190.954308; F_norm = 6.827063581
Step = 156; E = -1190.96693; F_norm = 6.815608595
Step = 157; E = -1190.979531; F_norm = 6.80417336
Step = 158; E = -1190.99211; F_norm = 6.79275784
Step = 159; E = -1191.004668; F_norm = 6.781361999
Step = 160; E = -1191.017204; F_norm = 6.769985802
Step = 161; E = -1191.029719; F_norm = 6.758629214
Step = 162; E = -1191.042213; F_norm = 6.747292197
Step = 163; E = -1191.054685; F_norm = 6.735974718
Step = 164; E = -1191.067136; F_norm = 6.72467674
Step = 165; E = -1191.079565; F_norm = 6.713398229
Step = 166; E = -1191.091974; F_norm = 6.702139148
Step = 167; E = -1191.104361; F_norm = 6.690899464
Step = 168; E = -1191.116727; F_norm = 6.67967914
Step = 169; E = -1191.129072; F_norm = 6.668478141
Step = 170; E = -1191.141396; F_norm = 6.657296433
Step = 171; E = -1191.153699; F_norm = 6.646133981
Step = 172; E = -1191.16598; F_norm = 6.634990749
Step = 173; E = -1191.178241; F_norm = 6.623866703
Step = 174; E = -1191.190481; F_norm = 6.612761809
Step = 175; E = -1191.2027; F_norm = 6.601676031
Step = 176; E = -1191.214898; F_norm = 6.590609335
Step = 177; E = -1191.227076; F_norm = 6.579561686
Step = 178; E = -1191.239232; F_norm = 6.568533051
Step = 179; E = -1191.251368; F_norm = 6.557523394
Step = 180; E = -1191.263484; F_norm = 6.546532682
Step = 181; E = -1191.275578; F_norm = 6.535560879
Step = 182; E = -1191.287652; F_norm = 6.524607953
Step = 183; E = -1191.299705; F_norm = 6.513673868
Step = 184; E = -1191.311738; F_norm = 6.502758591
Step = 185; E = -1191.32375; F_norm = 6.491862087
Step = 186; E = -1191.335742; F_norm = 6.480984324
Step = 187; E = -1191.347713; F_norm = 6.470125266
Step = 188; E = -1191.359664; F_norm = 6.459284881
Step = 189; E = -1191.371595; F_norm = 6.448463134
Step = 190; E = -1191.383505; F_norm = 6.437659992
Step = 191; E = -1191.395395; F_norm = 6.426875422
Step = 192; E = -1191.407264; F_norm = 6.416109389
Step = 193; E = -1191.419114; F_norm = 6.40536186
Step = 194; E = -1191.430943; F_norm = 6.394632802
Step = 195; E = -1191.442752; F_norm = 6.383922182
Step = 196; E = -1191.454541; F_norm = 6.373229967
Step = 197; E = -1191.46631; F_norm = 6.362556122
Step = 198; E = -1191.478058; F_norm = 6.351900615
Step = 199; E = -1191.489787; F_norm = 6.341263414
Step = 200; E = -1191.501496; F_norm = 6.330644484
Step = 201; E = -1191.513185; F_norm = 6.320043794
Step = 202; E = -1191.524854; F_norm = 6.30946131
Step = 203; E = -1191.536503; F_norm = 6.298896999
Step = 204; E = -1191.548132; F_norm = 6.288350828
Step = 205; E = -1191.559742; F_norm = 6.277822766
Step = 206; E = -1191.571331; F_norm = 6.267312779
Step = 207; E = -1191.582901; F_norm = 6.256820835
Step = 208; E = -1191.594451; F_norm = 6.246346902
Step = 209; E = -1191.605982; F_norm = 6.235890946
Step = 210; E = -1191.617493; F_norm = 6.225452936
Step = 211; E = -1191.628984; F_norm = 6.215032839
Step = 212; E = -1191.640456; F_norm = 6.204630624
Step = 213; E = -1191.651908; F_norm = 6.194246257
Step = 214; E = -1191.663341; F_norm = 6.183879707
Step = 215; E = -1191.674754; F_norm = 6.173530942
Step = 216; E = -1191.686148; F_norm = 6.16319993
Step = 217; E = -1191.697523; F_norm = 6.152886639
Step = 218; E = -1191.708878; F_norm = 6.142591037
Step = 219; E = -1191.720214; F_norm = 6.132313092
Step = 220; E = -1191.73153; F_norm = 6.122052772
Step = 221; E = -1191.742828; F_norm = 6.111810047
Step = 222; E = -1191.754106; F_norm = 6.101584883
Step = 223; E = -1191.765365; F_norm = 6.091377251
Step = 224; E = -1191.776604; F_norm = 6.081187118
Step = 225; E = -1191.787825; F_norm = 6.071014452
Step = 226; E = -1191.799027; F_norm = 6.060859223
Step = 227; E = -1191.810209; F_norm = 6.0507214
Step = 228; E = -1191.821373; F_norm = 6.04060095
Step = 229; E = -1191.832517; F_norm = 6.030497843
Step = 230; E = -1191.843643; F_norm = 6.020412048
Step = 231; E = -1191.85475; F_norm = 6.010343533
Step = 232; E = -1191.865838; F_norm = 6.000292268
Step = 233; E = -1191.876907; F_norm = 5.990258222
Step = 234; E = -1191.887957; F_norm = 5.980241363
Step = 235; E = -1191.898988; F_norm = 5.970241662
Step = 236; E = -1191.910001; F_norm = 5.960259087
Step = 237; E = -1191.920995; F_norm = 5.950293607
Step = 238; E = -1191.93197; F_norm = 5.940345192
Step = 239; E = -1191.942927; F_norm = 5.930413812
Step = 240; E = -1191.953865; F_norm = 5.920499435
Step = 241; E = -1191.964784; F_norm = 5.910602032
Step = 242; E = -1191.975685; F_norm = 5.900721572
Step = 243; E = -1191.986567; F_norm = 5.890858025
Step = 244; E = -1191.997431; F_norm = 5.88101136
Step = 245; E = -1192.008277; F_norm = 5.871181547
Step = 246; E = -1192.019104; F_norm = 5.861368556
Step = 247; E = -1192.029912; F_norm = 5.851572357
Step = 248; E = -1192.040702; F_norm = 5.84179292
Step = 249; E = -1192.051474; F_norm = 5.832030215
Step = 250; E = -1192.062228; F_norm = 5.822284212
Step = 251; E = -1192.072964; F_norm = 5.81255488
Step = 252; E = -1192.083681; F_norm = 5.802842191
Step = 253; E = -1192.09438; F_norm = 5.793146115
